"@timestamp","fields.ccode","event.original","log.file.path","_index","fields.pxesrv_id","fields.exam_mode"
"May 30, 2026 @ 10:56:59.899","2,005","2026-05-30 10:56:56,456 , script_run_time=2026-05-30 10:56:02 , event_date=2026-05-30 10:56:56.453680 , centercode=2005 , macid=00:e0:4c:a3:1e:59 , ip=10.0.1.225 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0381",live
"May 30, 2026 @ 10:56:59.899","2,005","2026-05-30 10:56:54,546 , script_run_time=2026-05-30 10:56:02 , event_date=2026-05-30 10:56:54.526148 , centercode=2005 , macid=00:e0:4c:a3:04:b6 , ip=10.0.0.187 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0381",live
"May 30, 2026 @ 10:56:59.899","2,005","2026-05-30 10:56:56,437 , script_run_time=2026-05-30 10:56:02 , event_date=2026-05-30 10:56:56.428686 , centercode=2005 , macid=00:e0:4c:f3:04:29 , ip=10.0.0.52 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0381",live
"May 30, 2026 @ 10:56:59.899","2,005","2026-05-30 10:56:56,462 , script_run_time=2026-05-30 10:56:02 , event_date=2026-05-30 10:56:56.459921 , centercode=2005 , macid=00:e0:4c:f3:04:07 , ip=10.0.0.192 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0381",live
"May 30, 2026 @ 10:56:59.898","2,005","2026-05-30 10:56:53,052 , script_run_time=2026-05-30 10:56:02 , event_date=2026-05-30 10:56:53.020147 , centercode=2005 , macid=00:e0:4c:a3:1e:cc , ip=10.0.0.165 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0381",live
"May 30, 2026 @ 10:56:58.807","1,138","2026-05-30 10:56:53,781 , script_run_time=2026-05-30 10:56:02 , event_date=2026-05-30 10:56:53.779507 , centercode=1138 , macid=bc:30:5b:b2:90:0a , ip=10.0.0.61 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0976",live
"May 30, 2026 @ 10:56:58.807","1,138","2026-05-30 10:56:53,652 , script_run_time=2026-05-30 10:56:02 , event_date=2026-05-30 10:56:53.649611 , centercode=1138 , macid=14:fe:b5:e7:23:55 , ip=10.0.0.103 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0976",live
"May 30, 2026 @ 10:56:43.394","4,056","2026-05-30 10:56:35,263 , script_run_time=2026-05-30 10:56:03 , event_date=2026-05-30 10:56:35.260717 , centercode=4056 , macid=00:e0:4c:79:1a:74 , ip=10.0.0.203 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0573",live
"May 30, 2026 @ 10:56:43.394","4,056","2026-05-30 10:56:35,198 , script_run_time=2026-05-30 10:56:03 , event_date=2026-05-30 10:56:35.196538 , centercode=4056 , macid=0a:e0:af:be:00:ee , ip=10.0.0.92 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0573",live
"May 30, 2026 @ 10:56:43.393","4,056","2026-05-30 10:56:35,155 , script_run_time=2026-05-30 10:56:03 , event_date=2026-05-30 10:56:35.148971 , centercode=4056 , macid=00:e0:4c:5b:1a:ba , ip=10.0.0.145 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0573",live
"May 30, 2026 @ 10:56:43.393","4,056","2026-05-30 10:56:35,035 , script_run_time=2026-05-30 10:56:03 , event_date=2026-05-30 10:56:35.033101 , centercode=4056 , macid=0a:e0:af:a4:2b:83 , ip=10.0.0.25 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0573",live
"May 30, 2026 @ 10:56:43.393","4,056","2026-05-30 10:56:35,087 , script_run_time=2026-05-30 10:56:03 , event_date=2026-05-30 10:56:35.085535 , centercode=4056 , macid=00:e0:4c:58:32:45 , ip=10.0.0.188 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0573",live
"May 30, 2026 @ 10:56:33.938","4,061","2026-05-30 10:56:25,808 , script_run_time=2026-05-30 10:56:02 , event_date=2026-05-30 10:56:25.805757 , centercode=4061 , macid=00:e0:4c:37:34:3b , ip=10.0.0.126 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0512",live
"May 30, 2026 @ 10:56:31.013","8,073","2026-05-30 10:56:30,027 , script_run_time=2026-05-30 10:56:03 , event_date=2026-05-30 10:56:30.025656 , centercode=8073 , macid=f0:4d:a2:2c:62:55 , ip=10.0.0.92 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0182",live
"May 30, 2026 @ 10:56:30.535","8,072","2026-05-30 10:56:29,780 , script_run_time=2026-05-30 10:56:02 , event_date=2026-05-30 10:56:29.778590 , centercode=8072 , macid=bc:30:5b:c7:a0:0e , ip=10.0.0.93 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0357",live
"May 30, 2026 @ 10:56:30.534","8,072","2026-05-30 10:56:29,669 , script_run_time=2026-05-30 10:56:02 , event_date=2026-05-30 10:56:29.666732 , centercode=8072 , macid=f0:4d:a2:32:1e:68 , ip=10.0.0.196 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0357",live
"May 30, 2026 @ 10:56:30.034","4,019","2026-05-30 10:56:21,403 , script_run_time=2026-05-30 10:56:02 , event_date=2026-05-30 10:56:21.401346 , centercode=4019 , macid=0a:e0:af:a4:19:9f , ip=10.0.0.50 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0786",live
"May 30, 2026 @ 10:56:30.034","4,019","2026-05-30 10:56:21,351 , script_run_time=2026-05-30 10:56:02 , event_date=2026-05-30 10:56:21.349507 , centercode=4019 , macid=0a:e0:af:a1:01:a1 , ip=10.0.0.166 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0786",live
"May 30, 2026 @ 10:56:30.034","4,019","2026-05-30 10:56:21,502 , script_run_time=2026-05-30 10:56:02 , event_date=2026-05-30 10:56:21.500616 , centercode=4019 , macid=00:25:64:bc:1f:78 , ip=10.0.0.148 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0786",live
"May 30, 2026 @ 10:56:30.012","8,073","2026-05-30 10:56:29,915 , script_run_time=2026-05-30 10:56:03 , event_date=2026-05-30 10:56:29.913864 , centercode=8073 , macid=f0:4d:a2:24:e8:0d , ip=10.0.0.67 , flag=IAC25M , status=IAC25M , score=40","/var/log/examhosts/scores/scores.log","eedqidx-av-main-20260530","BOSS-CBOX0182",live
